epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
164,26452.5,1.17546,0.93402,1.00505,0.63463,0.41999,0.45821,0.35459,1.15266,1.19266,0.99766,0.00983863,0.00983863,0.00983863
165,26612,1.17682,0.92458,1.00728,0.71983,0.38831,0.46487,0.3623,1.1534,1.16998,0.98966,0.00983764,0.00983764,0.00983764
166,26771.2,1.17222,0.9286,1.00097,0.64601,0.41267,0.47375,0.37196,1.15211,1.16316,0.98848,0.00983665,0.00983665,0.00983665
167,26930.6,1.16236,0.92563,0.9966,0.70473,0.3918,0.45826,0.36022,1.1442,1.1551,0.98788,0.00983566,0.00983566,0.00983566
168,27090.2,1.17797,0.93905,1.00579,0.61502,0.41271,0.45006,0.34963,1.14278,1.16785,0.98631,0.00983467,0.00983467,0.00983467
169,27249,1.17434,0.93004,1.0015,0.61336,0.38536,0.4506,0.34932,1.16052,1.16496,0.99102,0.00983368,0.00983368,0.00983368
170,27408.1,1.16448,0.92156,0.99819,0.61052,0.41036,0.45739,0.35185,1.15797,1.15758,0.98804,0.00983269,0.00983269,0.00983269
171,27567.5,1.17092,0.9224,1.00285,0.6086,0.42766,0.45855,0.35603,1.15556,1.14184,0.98836,0.0098317,0.0098317,0.0098317
172,27726.1,1.16322,0.92698,0.99884,0.69685,0.4014,0.47267,0.37213,1.16286,1.16143,0.99935,0.00983071,0.00983071,0.00983071
173,27885.4,1.15965,0.90853,1.0012,0.69063,0.41652,0.47137,0.36659,1.16225,1.15664,0.99509,0.00982972,0.00982972,0.00982972
174,28044.6,1.15058,0.91767,0.99336,0.58448,0.41626,0.45577,0.35443,1.16197,1.14697,0.99423,0.00982873,0.00982873,0.00982873
175,28204.1,1.1612,0.90762,0.9982,0.68579,0.40397,0.45359,0.35361,1.16678,1.16568,0.99586,0.00982774,0.00982774,0.00982774
176,28363.5,1.14859,0.90809,0.99111,0.64891,0.4177,0.46456,0.36149,1.16818,1.16143,0.99171,0.00982675,0.00982675,0.00982675
